,Unnamed: 0,absolute_magnitude_h,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,orbit_class_description,volume (m^3)
17266,14398,21.7,0,3.1857495542956155e+18,11,0,0.17145509762987593,0.29042283570844596,1,4.306339495814876e+52
17267,14409,24.8,0,17802763757901.06,13,0,0.06133820016911115,1.3050306759525856,1,7.515115606733202e+36
17268,10962,22.9,0,2.9505232116011044e+16,9,1,-0.27318168005011867,0.2961230180754432,3,3.4211370919462137e+46
17269,5816,24.9,0,12051600024399.746,14,1,-0.3354770011238167,0.4927924403764866,3,2.3313501301699432e+36
17270,10615,21.1,0,3.3103043774948622e+19,20,1,-0.23370703097894827,0.6321419532282768,3,4.8314463109142574e+55
17271,1031,17.99,0,6.159371555642274e+24,141,0,0.2898738623156307,1.1767506801134324,1,3.112308088034093e+71
17272,7962,22.4,0,2.075451636081473e+17,13,1,-0.17161230859356089,0.7216305935267401,3,1.19072432261292e+49
17273,19660,24.9,0,12051600024399.746,7,1,-0.05148256653866216,0.8919187089997057,3,2.3313501301699432e+36
17274,15505,28.8,0,2970152.5731651927,7,1,-0.17272070018432634,1.4248489361117396,3,3.48987362503439e+16
17275,16108,24.7,0,26298449483186.97,4,2,-0.3119838123846955,0.2897791736816344,2,2.4225001430164347e+37
17276,15691,21.91,0,1.4040479078739464e+18,9,1,-0.04721403050970679,0.34188966762862133,3,3.686541699883074e+51
17277,10111,21.16,0,2.619402864344062e+19,15,1,-0.10575751359078589,0.39808312333935175,3,2.393758128724294e+55
17278,72,19.7,0,7.799485510907299e+21,17,2,-0.251327051327085,0.23428646892374635,2,6.319332967066243e+62
17279,12537,22.9,0,2.9505232116011044e+16,16,0,0.2029747805781477,1.3024289982101378,1,3.4211370919462137e+46
17280,14373,22.3,0,3.065881280341087e+17,10,0,0.0489955274601183,1.30964386195899,1,3.838304065477356e+49
17281,19313,24.5,0,57387271237642.89,7,0,0.14106323094172096,1.3762295841004266,1,2.5172137233735114e+38
17282,22703,22.2,0,4.5289554608090445e+17,16,0,0.19591166400758903,1.2738858021194008,1,1.2372786636595617e+50
17283,5884,27.0,0,3332327444.9368534,9,1,-0.008981280840154178,0.9960913367702048,3,4.928518447206069e+25
17284,6460,22.9,0,2.9505232116011044e+16,13,1,-0.015318503074464581,0.6229582674779147,3,3.4211370919462137e+46
17285,397,17.86,0,1.0228499640058393e+25,206,0,0.18212084823400335,0.7334216366119344,1,1.425309482884312e+72
17286,1727,19.31,0,3.5718445437413103e+22,155,0,0.10752718899627171,0.26625186228509024,1,6.069473499770319e+64
17287,3837,21.21,0,2.1551670595459162e+19,75,1,-0.0858310147474997,0.16128357513279618,3,1.3332641211587272e+55
17288,7467,27.0,0,3332327444.9368534,10,0,0.051098454772568226,0.7813745778894456,1,4.928518447206069e+25
17289,16714,20.2,0,1.1087978477095607e+21,7,0,0.2181142536816283,1.3396473694704167,1,1.815643148394866e+60
17290,3544,20.3,0,7.506018978342509e+20,28,1,-0.05693823007116818,1.207385279271514,3,5.632514862464009e+59
17291,16666,28.0,1,67347347.25196393,6,1,-0.1262917977674203,0.47085354689486897,3,4.068504935472462e+20
17292,4423,25.749,0,439011655167.29535,9,2,-0.16363902278203643,0.07695764412709337,2,1.126941904324241e+32
